2026-04-15T23:42:59 | INFO     | trading_bot.orders | Placing MARKET BUY 0.001 BTCUSDT
2026-04-15T23:47:56 | INFO     | trading_bot.orders | Order placed. ID: 13037513468 | Status: NEW
2026-04-15T23:49:03 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.001 BTCUSDT trigger @ 40000
2026-04-15T23:49:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.001', 'stopPrice': '40000', 'timestamp': 1776277143290, 'recvWindow': 5000}
2026-04-15T23:49:03 | DEBUG    | trading_bot.client | Response 400: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-04-15T23:49:03 | ERROR    | trading_bot.client | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16T00:10:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278403383, 'recvWindow': 5000}
2026-04-16T00:10:03 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:10:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278403391, 'recvWindow': 5000}
2026-04-16T00:10:03 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:10:03 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:10:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278403397, 'recvWindow': 5000}
2026-04-16T00:10:03 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:10:03 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:10:33 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278433454, 'recvWindow': 5000}
2026-04-16T00:10:33 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:10:33 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278433458, 'recvWindow': 5000}
2026-04-16T00:10:33 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:10:33 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:10:33 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278433461, 'recvWindow': 5000}
2026-04-16T00:10:33 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:10:33 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:10:50 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278450454, 'recvWindow': 5000}
2026-04-16T00:10:50 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:10:50 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278450459, 'recvWindow': 5000}
2026-04-16T00:10:50 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:10:50 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:10:50 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278450462, 'recvWindow': 5000}
2026-04-16T00:10:50 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:10:50 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:14:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278642040, 'recvWindow': 5000}
2026-04-16T00:14:02 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:14:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278642047, 'recvWindow': 5000}
2026-04-16T00:14:02 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:14:02 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:14:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278642053, 'recvWindow': 5000}
2026-04-16T00:14:02 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:14:02 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702160, 'recvWindow': 5000}
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702168, 'recvWindow': 5000}
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:15:02 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702174, 'recvWindow': 5000}
2026-04-16T00:15:02 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702178, 'recvWindow': 5000}
2026-04-16T00:15:02 | ERROR    | trading_bot.client | Connection error: POST /fapi/v1/order
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702182, 'recvWindow': 5000}
2026-04-16T00:15:02 | ERROR    | trading_bot.client | Non-JSON response [502]: <html>502 Bad Gateway</html>
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776278702187, 'recvWindow': 5000}
2026-04-16T00:15:02 | DEBUG    | trading_bot.client | Response 500: {'other': 'error'}
2026-04-16T00:15:02 | ERROR    | trading_bot.client | HTTP 500: {"other": "error"}
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:15:02 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:53:10 | INFO     | trading_bot.orders | Placing MARKET BUY 0.01 BTCUSDT
2026-04-16T00:53:10 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1776280990829, 'recvWindow': 5000}
2026-04-16T00:53:11 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037614532, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'ZglqwWGecMn3Rlksgur2qz', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776280991501}
2026-04-16T00:53:11 | INFO     | trading_bot.orders | Order placed. ID: 13037614532 | Status: NEW
2026-04-16T00:53:20 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.01 BTCUSDT @ 65000
2026-04-16T00:53:20 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '65000', 'timeInForce': 'GTC', 'timestamp': 1776281000067, 'recvWindow': 5000}
2026-04-16T00:53:20 | DEBUG    | trading_bot.client | Response 400: {'code': -4024, 'msg': "Limit price can't be lower than 70881.05."}
2026-04-16T00:53:20 | ERROR    | trading_bot.client | Binance API error [-4024]: Limit price can't be lower than 70881.05.
2026-04-16T00:53:26 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.01 BTCUSDT trigger @ 60000
2026-04-16T00:53:26 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '60000', 'timestamp': 1776281006070, 'recvWindow': 5000}
2026-04-16T00:53:26 | DEBUG    | trading_bot.client | Response 400: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-04-16T00:53:26 | ERROR    | trading_bot.client | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223619, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223626, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223631, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223636, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Connection error: POST /fapi/v1/order
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223640, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Non-JSON response [502]: <html>502 Bad Gateway</html>
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223644, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 500: {'other': 'error'}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | HTTP 500: {"other": "error"}
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:57:03 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318632, 'recvWindow': 5000}
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318640, 'recvWindow': 5000}
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:58:38 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318645, 'recvWindow': 5000}
2026-04-16T00:58:38 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318648, 'recvWindow': 5000}
2026-04-16T00:58:38 | ERROR    | trading_bot.client | Connection error: POST /fapi/v1/order
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318652, 'recvWindow': 5000}
2026-04-16T00:58:38 | ERROR    | trading_bot.client | Non-JSON response [502]: <html>502 Bad Gateway</html>
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281318657, 'recvWindow': 5000}
2026-04-16T00:58:38 | DEBUG    | trading_bot.client | Response 500: {'other': 'error'}
2026-04-16T00:58:38 | ERROR    | trading_bot.client | HTTP 500: {"other": "error"}
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Placing MARKET BUY 0.05 ETHUSDT
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Order placed. ID: 111 | Status: N/A
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.1 BTCUSDT @ 50000
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Order placed. ID: 222 | Status: N/A
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.1 BTCUSDT trigger @ 40000
2026-04-16T00:58:38 | INFO     | trading_bot.orders | Order placed. ID: 333 | Status: N/A
2026-04-16T00:59:59 | INFO     | trading_bot.orders | Placing MARKET BUY 0.01 BTCUSDT
2026-04-16T00:59:59 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1776281399288, 'recvWindow': 5000}
2026-04-16T00:59:59 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037622583, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'Jp04G7a0qRDXeu2FgjdhAR', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281399973}
2026-04-16T00:59:59 | INFO     | trading_bot.orders | Order placed. ID: 13037622583 | Status: NEW
2026-04-16T01:00:03 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.01 BTCUSDT @ 75000
2026-04-16T01:00:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '75000', 'timeInForce': 'GTC', 'timestamp': 1776281403431, 'recvWindow': 5000}
2026-04-16T01:00:03 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037622736, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': '6bDJjIs40XwX1LkWCyKanq', 'price': '75000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281404062}
2026-04-16T01:00:03 | INFO     | trading_bot.orders | Order placed. ID: 13037622736 | Status: NEW
2026-04-16T01:00:08 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.01 BTCUSDT trigger @ 60000
2026-04-16T01:00:08 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '60000', 'timestamp': 1776281408172, 'recvWindow': 5000}
2026-04-16T01:00:08 | DEBUG    | trading_bot.client | Response 400: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-04-16T01:00:08 | ERROR    | trading_bot.client | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16T01:01:22 | INFO     | trading_bot.orders | Placing MARKET BUY 0.01 BTCUSDT
2026-04-16T01:01:22 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1776281482315, 'recvWindow': 5000}
2026-04-16T01:01:22 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037624163, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'jYq271zEDzxKsMOu7H1Cip', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281482970}
2026-04-16T01:01:22 | INFO     | trading_bot.orders | Order placed. ID: 13037624163 | Status: NEW
2026-04-16T01:01:26 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.01 BTCUSDT @ 75000
2026-04-16T01:01:26 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '75000', 'timeInForce': 'GTC', 'timestamp': 1776281486084, 'recvWindow': 5000}
2026-04-16T01:01:26 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037624220, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'XEshGTEVhisIPuJ48JKHcb', 'price': '75000.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776281486685}
2026-04-16T01:01:26 | INFO     | trading_bot.orders | Order placed. ID: 13037624220 | Status: NEW
2026-04-16T01:01:30 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.01 BTCUSDT trigger @ 60000
2026-04-16T01:01:30 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '60000', 'timestamp': 1776281490448, 'recvWindow': 5000}
2026-04-16T01:01:30 | DEBUG    | trading_bot.client | Response 400: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-04-16T01:01:30 | ERROR    | trading_bot.client | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16T01:07:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281823871, 'recvWindow': 5000}
2026-04-16T01:07:03 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T01:07:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281823880, 'recvWindow': 5000}
2026-04-16T01:07:03 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
